team,season,games_played,xgf_pg,xga_pg,gf_pg,ga_pg
DET,2014,82,2.765121951219512,2.5165853658536586,2.817073170731707,2.573170731707317
EDM,2014,82,2.518780487804878,3.0264634146341463,2.3536585365853657,3.3658536585365852
FLA,2014,82,2.6158536585365852,2.5479268292682926,2.4146341463414633,2.597560975609756
LAK,2014,82,2.6282926829268294,2.471829268292683,2.658536585365854,2.402439024390244
MIN,2014,82,2.839390243902439,2.321829268292683,2.768292682926829,2.4146341463414633
MTL,2014,82,2.535365853658537,2.622926829268293,2.6097560975609757,2.2439024390243905
NJD,2014,82,2.2796341463414636,2.6908536585365854,2.1463414634146343,2.548780487804878
NSH,2014,82,2.6146341463414635,2.353048780487805,2.7560975609756095,2.4634146341463414
NYI,2014,82,3.207560975609756,2.564878048780488,2.9878048780487805,2.731707317073171
NYR,2014,82,2.8920731707317073,2.566341463414634,3.024390243902439,2.2804878048780486
OTT,2014,82,2.755121951219512,2.5297560975609756,2.8292682926829267,2.5365853658536586
PHI,2014,82,2.7339024390243902,2.862195121951219,2.5853658536585367,2.7195121951219514
PIT,2014,82,2.857317073170732,2.6497560975609757,2.6463414634146343,2.4878048780487805
SJS,2014,82,3.104756097560976,2.887926829268293,2.731707317073171,2.7560975609756095
STL,2014,82,2.6689024390243903,2.341219512195122,2.9146341463414633,2.402439024390244
TBL,2014,82,2.92390243902439,2.658292682926829,3.158536585365854,2.5121951219512195
TOR,2014,82,2.611829268292683,3.298414634146342,2.5121951219512195,3.1341463414634148
VAN,2014,82,2.6841463414634146,2.814878048780488,2.8780487804878048,2.682926829268293
WPG,2014,82,2.8397560975609757,2.730243902439024,2.7195121951219514,2.4878048780487805
WSH,2014,82,2.8891463414634146,2.625121951219512,2.8902439024390243,2.426829268292683
ANA,2015,82,2.8229268292682925,2.30609756097561,2.6219512195121952,2.292682926829268
ARI,2015,82,2.4515853658536586,2.7817073170731708,2.5365853658536586,2.975609756097561
BOS,2015,82,2.7278048780487807,2.9136585365853658,2.8780487804878048,2.7804878048780486
BUF,2015,82,2.5081707317073167,2.6704878048780487,2.426829268292683,2.6219512195121952
CAR,2015,82,2.880121951219512,2.7314634146341463,2.3902439024390243,2.6951219512195124
CBJ,2015,82,2.9171951219512198,3.046951219512195,2.597560975609756,3.024390243902439
CGY,2015,82,2.6329268292682926,2.7408536585365852,2.792682926829268,3.1341463414634148
CHI,2015,82,2.768048780487805,2.7079268292682928,2.8536585365853657,2.524390243902439
COL,2015,82,2.458170731707317,3.0793902439024388,2.5853658536585367,2.926829268292683
DAL,2015,82,3.153658536585366,2.7759756097560975,3.231707317073171,2.7804878048780486
DET,2015,82,2.683414634146341,2.7173170731707317,2.548780487804878,2.6707317073170733
EDM,2015,82,2.6797560975609755,2.924512195121951,2.426829268292683,2.951219512195122
FLA,2015,82,2.7409756097560973,2.685,2.8292682926829267,2.4390243902439024
LAK,2015,82,2.8757317073170734,2.6280487804878048,2.7195121951219514,2.341463414634146
MIN,2015,82,2.7002439024390243,2.4640243902439027,2.597560975609756,2.4878048780487805
MTL,2015,82,2.7180487804878046,2.6506097560975608,2.6341463414634148,2.841463414634146
NJD,2015,82,2.3356097560975613,2.6702439024390245,2.2195121951219514,2.4634146341463414
NSH,2015,82,2.684390243902439,2.234878048780488,2.731707317073171,2.597560975609756
NYI,2015,82,2.71390243902439,2.758658536585366,2.768292682926829,2.573170731707317
NYR,2015,82,2.518780487804878,2.7685365853658537,2.841463414634146,2.6219512195121952
OTT,2015,82,2.738414634146342,3.0003658536585367,2.8048780487804876,2.9390243902439024
PHI,2015,82,2.9315853658536586,2.9068292682926833,2.573170731707317,2.5609756097560976
PIT,2015,82,2.95,2.511951219512195,2.9390243902439024,2.426829268292683
SJS,2015,82,2.9810975609756096,2.4740243902439025,2.8902439024390243,2.524390243902439
STL,2015,82,2.6547560975609756,2.7281707317073174,2.6707317073170733,2.402439024390244
TBL,2015,82,2.629146341463415,2.5378048780487803,2.731707317073171,2.4146341463414633
TOR,2015,82,3.087317073170732,2.982073170731707,2.341463414634146,2.926829268292683
VAN,2015,82,2.370365853658537,2.9745121951219513,2.268292682926829,2.9146341463414633
WPG,2015,82,2.7737804878048777,2.966341463414634,2.5853658536585367,2.8780487804878048
